新欧尚餐厅,金鸡湖路205号欧尚超市二楼铺位号603-2001, WiFi 
海门时代餐厅,解放中路309号北贵都之星利群时代一层肯德基餐厅, WiFi 全天营业 店内参观 
建湖秀夫餐厅,建湖县向阳路与秀夫路东南侧, WiFi 店内参观 生日餐会 
张家港锦丰餐厅,张家港市锦丰镇锦店路1号肯德基, WiFi 全天营业 生日餐会 
吴中碧波餐厅,吴中经济开发区东吴南路388号, WiFi 全天营业 店内参观 生日餐会 
张家港塘桥餐厅,张家港塘桥镇南京路与西环路交汇处大润发卖场1层, WiFi 店内参观 生日餐会 
浒关餐厅,高新区文昌路301号浒关大润发超内一楼, WiFi 全天营业 
园区印象城餐厅,工业园区现代大道1699号, WiFi 店内参观 
昆山张浦餐厅,昆山市张浦镇新吴街148号, WiFi 全天营业 店内参观 生日餐会 
木渎翠坊餐厅,吴中区木渎翠坊街18号, WiFi 
昆山开发区餐厅,昆山市经济技术开发区前进中路237号, WiFi 全天营业 店内参观 生日餐会 
园区胜浦餐厅,胜浦镇兴浦街金胜路口金雅苑8号1层, WiFi 全天营业 店内参观 生日餐会 
观前大光明餐厅,小公园北局9号大光明影城, WiFi 店内参观 
大丰幸福餐厅,大丰区大润发超市一楼, WiFi 全天营业 店内参观 
新苏站餐厅,苏站路27号苏州站北广场北出站口东侧B1层出租车上车点方向, WiFi 全天营业 
南通工农路餐厅,工农路515号金飞达广场乐购超市一楼肯德基, WiFi 全天营业 店内参观 
海门长江餐厅,黄海路530号欧尚超市一楼, WiFi 
张家港公园餐厅,张家港市沙洲西路购物公园太阳广场1层M101-M102号, WiFi 全天营业 生日餐会 
东台红兰餐厅,盐城东台市红兰中路3号大润发一楼, WiFi 全天营业 店内参观 生日餐会 
盐城建中餐厅,建军路59号苏宁电器一楼, WiFi 店内参观 
园区唯亭餐厅,唯亭镇金陵西路288号1栋, WiFi 全天营业 店内参观 生日餐会 
开发区上海路餐厅,开发区上海路80号利群时代超市一楼, WiFi 全天营业 店内参观 
吴江鲈乡餐厅,松陵镇江兴西路469号, WiFi 全天营业 生日餐会 
