4511682,文鼎广场,南京市江宁区格致路99号,"31.914058077324043,118.89922458027716",32010001
21154535,南京砂之船奥莱,南京市江宁区秣周东路18号,"31.867766561205972,118.82823135586116",32010002
92143469,雨花客厅,南京市雨花台区安德门大街47号,"31.978530428689005,118.76407757735895",32010003
6311384,虹悦城,南京市雨花台区应天大街619号,"32.009525873632874,118.76588237081134",32010004
1671913,中央商场(新街口店),南京市秦淮区中山南路79号(近正洪街),"32.03866657037509,118.78529509584006",32010005
1958320,德基广场,南京市玄武区中山路18号,"32.044070448954926,118.78495073748283",32010006
,景枫KINGMO,江苏省江宁区双龙大道1698号,"31.929856881582694,118.82022569139284",32010007
,深圳海岸城,深圳市南山区文心五路33号,"22.516963035501963,113.93563901921783",44030001
,CITY花园城,深圳市南山区南海大道1090号,"22.501419823425316,113.9230511648926",44030002
,万科红生活广场,深圳市龙岗区锦龙路89号,"22.598564421100534,114.12687341801077",44030003
,观澜湖新城MHMALL,深圳市龙华区高尔夫大道1号,"22.72265256379007,114.07588328633832",44030004
,Hicity,深圳市罗湖区凤凰路193号,"22.546837388866475,114.13253594497967",44030005
,龙岗新城汇,深圳市龙岗区红棉路与横岗一号路交会处,"22.64877867813798,114.1920163308316",44030006
,星港城购物中心,深圳市宝安区松白路7038号,"22.769879006813603,113.84788740469662",44030007
,大浪商业中心,深圳市龙华区华旺路69-14号,"22.674847881571036,113.99479200842431",44030008
,百易广场,深圳市龙华区民福路2号,"22.618434856150813,114.03559859964611",44030009
,华信购物广场,深圳市龙华区华荣路278号,"22.672918516800483,113.99856427132012",44030010
,东海城市广场,深圳市福田区红荔西路8099号,"22.54053956220737,114.02111784916127",44030011
,缤纷时代广场,深圳市宝安区宝田一路0,"22.592542211665553,113.87434797998469",44030013
,新世界百货,深圳市福田区梅华路98-1号,"22.564977493992917,114.05329806506126",44030014
,京基凤凰印象商业广场,深圳市罗湖区凤凰路181号,"22.54718643101996,114.13335676082113",44030015
,三和百货,深圳市宝安区松白路5038号,"22.77901025087451,113.89053280096984",44030016
,纷享城,深圳市龙华区华旺路大浪商业中心H栋,"22.675776234361937,113.99433844776769",44030017
,天利名城购物中心,深圳市南山区海德三道85号,"22.518358851581667,113.93529539723062",44030018
,卓越INTOWN,深圳市福田区金田路2030号,"22.531787912517697,114.06450652554868",44030019
,茂业奥特莱斯,深圳市罗湖区和平路3009号,"22.54417479361395,114.11422899124356",44030020
,喜荟城,深圳市罗湖区太宁路8号,"22.568180925403748,114.14028968612271",44030021
,港澳城(华强北路),深圳市福田区华强北路3003号,"22.546784056123993,114.08604439587921",44030022
,益田假日广场,深圳市南山区深南大道9028号,"22.537426578053832,113.97508006422412",44030023
,金光华广场,深圳市罗湖区人民南路2028号,"22.53941695950287,114.11982998320731",44030024
,星河·CocoPark,深圳市福田区福华三路268号,"22.53357993657125,114.05398318974038",44030025
,形色城购物广场,深圳市宝安区中心路34-1号,"22.72195572772541,113.82952143798053",44030026
,皇庭广场,深圳市福田区福华三路118号,"22.53370601688606,114.05979870603043",44030027
,天虹商场(公明店),深圳市宝安区振明路122号,"22.781856374708312,113.89319122834081",44030028
,坂田商业广场(吉华路),深圳市龙岗区吉华路999号,"22.633189439238254,114.062581601117",44030029
,人人购物广场(南岭店),深圳市龙岗区南岭社区南岭东路28号,"22.611984365827954,114.15099490587751",44030030
,东门鸿展中心城,深圳市罗湖区解放路1034号,"22.5458571223918,114.1195115557048",44030031
,海雅缤纷广场(南山店),深圳市南山区南海大道2746号,"22.518655608861305,113.92907792610994",44030032
