1,小龙坎老火锅（大悦城店）,10:00-22:00,021-65878577,上海市静安区西藏北路166号内（801-08）号商铺
2,小龙坎老火锅（淮海路店）,11:00-次日03:00,021-63777577,上海黄浦区淮海中路一号美食不夜城二楼
3,小龙坎老火锅（大宁店）,11:00-次日02:00,021-66615665,上海市静安区万荣路777弄7号402室（大宁中心广场一期-大宁音乐广场E座402单元）
4,小龙坎老火锅（玫瑰坊店）,24小时营业,021-62757577,上海市长宁路890号“玫瑰坊”商场店铺1层F27室2层F58室
5,小龙坎老火锅（船厂路店）,10:00-22:00,021-61711717,上海徐汇区船厂路28号正大乐城
6,小龙坎老火锅（百联南方购物中心店）,10:00-22:00,021-54287778,上海市闵行区沪闵路7388号百联南方购物中心
7,小龙坎老火锅（宝山正大乐城店）,10:30-22:00,021-56575677,上海市宝山区陆翔路111号正大乐城2F-008
8,小龙坎老火锅（新川路店）,10:00-次日02:00,021-58457771,上海市浦东新区新川路755号
9,小龙坎老火锅（人民东路店）,10:00-23:00,021-20965777,上海市浦东新区惠南镇人民东路2635弄142号二楼及三楼商铺
10,小龙坎老火锅(中茵世贸广场店),10:30-次日03:00,0512-57222727,江苏省苏州市昆山市前进西路296号中茵世贸广场B004室
11,小龙坎老火锅（江海中路店）,10:00-次日02:00,0513-83350777,江苏省南通市启东市江海中路600号
12,小龙坎老火锅（圆融店）,09:30-21:30,0512-66611319,江苏省苏州市工业园区万盛街8号圆融大厦4层4150+4160号
13,小龙坎老火锅（苏州中心店）,09:30-00:00,0512-62901319,江苏省苏州市工业园区苏州中心B区401号
14,小龙坎老火锅(步行街店),,,江苏省南通市海门市海门街道商业步行街海港城9幢105铺
15,小龙坎老火锅（印象城店）,10:00-22:00,0512-65991319,江苏省苏州市工业园区印象城购物中心3层01a
16,小龙坎老火锅（大成坊店）,10:30-00:00,0512-66191319,江苏省苏州市姑苏区大成新天地皮市街9-69号南侧二楼商铺
17,小龙坎老火锅（方塔东街店）,09:30-次日02:00,0512-65431319,江苏苏州市常熟市方塔东街5号楼二层
18,小龙坎老火锅（天虹店）,10:30-22:00,0512-66591319,江苏省苏州市姑苏区广济南路219号“天虹CC.MALL”6层602号
19,小龙坎老火锅(观前街富仁坊店),09:30-次日05:00,0512-62522288,江苏省苏州市富仁坊68号
20,小龙坎老火锅（世纪广场店）,10:00-次日02:00,0573-83189797,浙江省嘉兴市南湖区世纪广场1层
21,小龙坎老火锅（星湖街区店）,10:30-00:00,0513-55880872,江苏省南通市经济技术开发区星湖街区项目的10号一层两侧
22,小龙坎老火锅（建设路店）,10:00-00:00,0513-83566777,江苏省南通市通州区金沙镇建设路7号底楼
23,小龙坎老火锅（中诚大厦店）,,,江苏省南通市崇川区城山路28号中城大厦
24,小龙坎老火锅（港闸万达店）,10:30-次日02:00,0513-82228862,江苏省南通市港闸区万达广场内购物中心室内步行街叁层3025-3026
25,小龙坎老火锅（杨舍老街店）,10:30-次日02:00,0512-58611319,江苏省苏州市张家港市杨舍老街商业步行街区1幢1层1.2.3.5.6.10.11号2层1号
26,小龙坎老火锅（永乐路店）,10:30-次日05:00,0510-88811319,江苏省无锡市梁溪区南长街永乐路1号
27,小龙坎老火锅（万象城店）,10:30-21:30,0510-88821319,江苏省无锡市滨湖区金石路88号万象城L4-6-1号商铺
28,小龙坎老火锅（湖滨商业街店）,10:30-次日03:00,0510-88881319,江苏省无锡市湖滨路旅游休闲商业街湖滨街11-5/11-6楼上、11-10楼上
29,小龙坎老火锅（慈溪店）,10：30-次日02：00,0574-63811377,浙江省宁波市慈溪区慈甬路1号
30,小龙坎老火锅（三元坊店）,10:30-次日02:00,0510-86661319,江苏省无锡市江阴市人民中路88号南门面临步行街
31,小龙坎老火锅（爱山广场店）,10:00-次日02:00,0572-2055877,浙江省湖州市吴兴区爱山广场23号楼
32,小龙坎老火锅（盛世广场店）,9.00-次日02.00,0523-862621111,江苏省泰州市靖江市工农路盛世广场3-3，3-4
33,小龙坎老火锅（长兴店）,10:00-次日02:00,0572-6606333,浙江省湖州市长兴区长兴轻纺城C-1幢
34,小龙坎老火锅（海滨新天地店）,11：00-次日02：00,0580-2996188,浙江省舟山市定海区蓝郡国际花园A幢111-114/130-136
35,小龙坎老火锅（下沙龙湖店）,10:00-次日02:00,0571-88285566,浙江省杭州市江干区金沙大道龙湖时代金沙天街B1-029，B1-030
36,小龙坎老火锅（1844店）,10:00-00:00,0574-87331557,浙江省宁波市和义路102弄1号1844.和义艺术生活中心F3-05
37,小龙坎老火锅（丽泽华庭店）,11:00-次日03:00,15152449458,江苏省南通市如皋县丽泽华庭西大门202#1区
38,小龙坎老火锅（八佰伴店）,10:30-次日03:00,0510-87661319,江苏省无锡市宜兴市君悦.天禧广场1幢101号、102号、103号
39,小龙坎老火锅（早科坊店）,10:30-次日02:00,0519-88831319,江苏省常州市钟楼区早科坊13号
40,小龙坎老火锅（世茂广场店）,10:00-次日03:00,0575-88611557,浙江省绍兴市越城区世茂广场第一层1-A-13，二层2-A-07号商铺
41,小龙坎老火锅（龙湖天街店）,11:00-22:00,0519-88851319,江苏省常州市钟楼区龙湖.龙城天街4F-31/32号房屋
42,小龙坎老火锅（杭州大厦店）,10:00-22:00,0571-87697227,浙江省杭州市江干区杭州大厦501
43,小龙坎老火锅（远洋乐堤店）,10:00-次日02:00,0571-86807871,浙江省杭州市拱墅区丽水路远洋乐堤港C220号商铺
44,小龙坎老火锅（萧山万象汇店）,10:00-21:30,0571-82395871,浙江省杭州市萧山区北干街金城路927号杭州万象汇第L4层第435号商铺
45,小龙坎老火锅（湖滨银泰in77店）,10:00-次日02:00,0571-85222676,浙江省杭州市上城区延安路255号2弄101—102室
46,小龙坎老火锅（龙湖天街店）,10:00-22:00,0571-86830097,浙江省杭州市滨江区江汉路龙湖天街6层39号商铺
47,小龙坎老火锅（新宁路店）,09:00-次日02:00,0513-81819777,江苏省南通市海安县开发区黄海大道中路6号
48,小龙坎老火锅（滨江宝龙店）,10:00-次日01:00,0571-86782257,浙江省杭州市滨江区滨盛路3867号杭州滨江宝龙广场/宝龙城一区（期）1号楼第五层M-F5-003
49,小龙坎老火锅（佳源店）,10.00-次日02.00,0523-87490777,江苏省泰州市泰兴市大庆东路9号新天地佳源广场8号楼129-131,222-228号商铺
50,小龙坎老火锅（北大街店）,9.30-次日02.00,0523-88789777,江苏省泰州市姜堰区北大街文化街区A1栋101-2、122、118、117号
51,小龙坎老火锅(田园路店),11:00-次日02:00,0511-88367979,江苏省镇江市扬中市三茅街道田园路18号，20号，22号门面房
52,小龙坎老火锅(万象城店),10.00-22.00,0523-86816006,江苏省泰州市海陵区永定东路399号泰州万象城一期生活馆2层L222-223号
53,小龙坎老火锅（威尼达购物城店）,,,安徽省宣城市广德县威尼达购物城1F层1F16区
54,小龙坎老火锅（税东街店）,11.00-次日02.00,0523-80596777,江苏省泰州市海陵区税务桥东街9号113-114室
55,小龙坎老火锅（德润店）,10.00--22.30,0515-85396669,江苏省盐城市东台市德润广场六楼608
56,小龙坎老火锅(中山东路店),11:00-次日02:00,0511-85016621,江苏省镇江市京口区中山东路150号第二层楼面
57,小龙坎老火锅（万达店）,11:00-次日02:00,0511-85270877,江苏镇江市润州区华都名城荣锦苑60幢第一层101
58,小龙坎老火锅（文昌东路店）,9.30-次日02.00,0514-86626677,江苏省扬州市江都区文昌东路新加坡花园沿街
59,小龙坎老火锅（运河西路店）,9.30-次日02.00,0514-82896177,江苏省扬州市广陵区运河西路185号东城国际大厦二层和首层
60,小龙坎老火锅（东辰店）,11:00-次日02:00,0511-87234563,江苏省镇江市句容市华阳镇人民路东辰大厦06（1层）02（2层）号
61,小龙坎老火锅（五彩世界店）,10.00-22.00,0514-82176077,江苏省扬州市邗江区京华城路五彩世界生活广场F5-028商铺
62,小龙坎老火锅（五里东路店）,9.30-21.30,0523-83555557,江苏省泰州市兴化市五里东路10号喜来居大酒店一楼南侧，二楼
63,小龙坎老火锅（西津店）,10:30-次日02:00,0563-4151789,安徽省宣城市宁国市宁国花园初阳苑3幢1号
64,小龙坎老火锅（黉门商厦店）,11：00-次日02：00,0579-89322224,浙江省金华市东阳市黉门一号楼25-1，23-6
65,小龙坎老火锅（稠州店）,10：00-次日02：00,0579-85917998,浙江省金华市义乌市稠州中路187号
66,小龙坎老火锅（世贸广场店）,9.30-22.00,0514-84727177,江苏省扬州市高邮市波司登世贸广场1、2、4区110-112号商铺
67,小龙坎老火锅（康庄南街店）,10：30-次日02：00,0579-86711177,浙江省金华市东阳市横店镇康庄南街190号
68,小龙坎老火锅（城东店）,,,安徽省宣城市宣州区城东新村综合楼21号商铺
69,小龙坎老火锅（马群店）,11:00-次日02:00,025-85700585,江苏省南京市栖霞区马群新街20-22号
70,小龙坎老火锅（仙林大学城店）,11:00-次日02:00,025-57724177,江苏省南京市栖霞区仙林大学城文苑路8号文苑广场负一层东城花街之B-11.12.13号商铺
71,小龙坎老火锅（仙林万达店）,11:00-次日02:00,025-86897577,江苏省南京市栖霞区万达茂商业中心26栋5.6.7室
72,小龙坎老火锅（万达店）,9:30-22:00,0563-2025577,安徽省宣城市万达广场室内步行街4层4057/4058号商铺
73,小龙坎老火锅（新亭西路店）,11:00-次日02:00,025-52713897,江苏省南京市江宁区新亭西路骆村新寓门面房15-1号一层
74,小龙坎老火锅（宝龙店）,11:00-次日02:00,0515-88818177,江苏省盐城市亭湖区宝龙城市广场东进路商业楼1007/1082-1084/1086/1087号商铺
75,小龙坎老火锅（崇和路店）,11:00-次日02:00,0576-85123829,浙江省台州市临海市崇和路3-11号一层商铺，3-8—3-11号二层商铺
76,小龙坎老火锅（玄武店） ,11:00-次日02:00,025-84451212,江苏省南京市玄武区1912商圈
77,小龙坎老火锅（升州路店）,,,江苏省南京市秦淮区升州路1号1楼
78,小龙坎老火锅（盐城店） ,,,江苏省盐城市亭湖区黄海路文泽府邸22号   
79,小龙坎老火锅(河西金鹰商城店),11:00-次日02:00,025-86678558,江苏省南京市建邺区金鹰商场所街2号8楼F821-2
80,小龙坎老火锅(湖南路狮子桥店),11:00-次日03:00,025-66171788,江苏省南京市鼓楼区云南北路28号14号楼部分一层
81,小龙坎老火锅（仙居店）,09:00-次日01:00,0576-89323456,浙江省台州市仙居区城关福应街道东门村
82,小龙坎老火锅（悦达广场店）,（筹备中）,,安徽省芜湖市芜湖县悦达广场商业综合楼3#楼二层一楼
83,小龙坎老火锅（朝天街店）,11:00-次日02:00,025-57182777,江苏省南京市六合区雄州街道双客路97号欢乐广场04幢2层，89-1至89-8号
