1000811,维也纳国际酒店（北京首体店),北京市海淀区中关村南大街52号,4.7分  ,299,116.332368, 39.949217,['尾房', '会员首住七折', '早订早惠'],['会议室', '免费停车场', '健康早餐', '商务中心'],http://image.wyn88.com/adminbranch/201703231236001014_middle.jpg
1000411,维也纳3好酒店（北京石景山八角游乐园地铁站店),北京石景山区石景山路23号院15号楼 ,4.8分  ,334,116.21920141379597, 39.91562911119259,['会议室', '免费停车场', '健康早餐', '商务中心'],['会员首住七折'],http://image.wyn88.com/adminbranch/201810290920007037_middle.jpg
1000761,维也纳酒店（北京旧宫店),北京市大兴区旧宫镇旧宫路12号院15号楼,4.6分  ,278,116.458679, 39.804191,['会员首住七折'],['会议室', '免费停车场', '健康早餐', '特色餐饮'],http://image.wyn88.com/adminbranch/201808091240008056_middle.jpg
1013121,维也纳3好酒店（北京首都机场店),北京市顺义区天竺镇府前二街15号,4.6分  ,182,116.582735, 40.070404,['会议室', '免费停车场', '健康早餐', '特色餐饮'],['会员首住七折'],http://image.wyn88.com/adminbranch/201902251536056096_middle.jpg
1000531,维也纳国际酒店（北京广安门店),北京市西城区白广路7号,4.7分  ,499,116.365499, 39.890481,['会员首住七折'],['会议室', '音乐体验', '免费停车场', '健康早餐', '特色餐饮'],http://image.wyn88.com/adminbranch/201705052327025047_middle.jpg
1022001,维也纳国际酒店（北京温都水城店),北京市昌平区北七家镇平西王府街55号（宏福大厦东侧）,4.7分  ,269,116.378579, 40.107081,['会议室', '音乐体验', '免费停车场', '健康早餐', '特色餐饮'],['尾房', '会员首住七折'],http://image.wyn88.com/adminbranch/201801201001022052_middle.jpg
1022061,维也纳3好酒店（北京昌平沙河地铁站店),北京市昌平区沙河镇松兰堡村西昌职路1号（维也纳3好酒店北京昌平沙河地铁站店）,4.8分  ,310,116.29941, 40.154564,['尾房', '会员首住七折'],['接送服务', '免费停车场'],http://image.wyn88.com/adminbranch/201904300921011059_middle.jpg
0,维也纳国际酒店（北京核工业大学店),北京市大兴区黄村卫星城清源路甲1号（兴核宾馆）,0分  ,0,116.34813212964166, 39.74975643680818,['接送服务', '免费停车场'],['尾房', '会员首住七折', '早订早惠'],http://www.wyn88.com/images/hotel_img_choubei.png
0,维也纳国际酒店（北京花乡奥莱店),北京市丰台区南四环西路76号19号楼,0分  ,0,116.330386, 39.833319,[],[],http://www.wyn88.com/images/hotel_img_choubei.png
0,维也纳酒店（北京丰益桥店),北京市丰台区丰管路8号丰益桥西300米,0分  ,0,116.31897039475257, 39.86371081754895,[],[],http://www.wyn88.com/images/hotel_img_choubei.png
0,维也纳酒店（北京平谷区政府店),北京市平谷区新平东路251号,0分  ,0,117.12981917185641, 40.14072364463424,[],[],http://www.wyn88.com/images/hotel_img_choubei.png
0,诚悦假日酒店（北京沙河地铁站店),北京市昌平区沙河镇松兰堡村西昌职路1号,0分  ,0,116.30380397764101, 40.159529845720097,[],[],http://www.wyn88.com/images/hotel_img_choubei.png
3017001,维也纳国际酒店（天津武清京津路店),天津市武清区杨村街道香江广场14号楼,4.9分  ,218,117.07709312994827, 39.3656925689047,['会员首住七折'],['会议室', '免费停车场', 'WIFI全部覆盖：包括大堂、客房、走廊、电梯、公区洗手间、餐厅', '健康早餐'],http://image.wyn88.com/adminbranch/201704181010021045_middle.jpg
